name,type,phone,specialty,address,city,wilaya,latitude,longitude,accessibility,homevisits,available24_7,rating
Clinique El Amel,clinic,+213 48 54 12 34,General Medicine,Rue de la République,Sidi Bel Abbès,Sidi Bel Abbès,35.1908,0.6388,true,false,false,4.5
Hôpital Dahmani,hospital,+213 48 54 23 45,Emergency,Boulevard de la Liberté,Sidi Bel Abbès,Sidi Bel Abbès,35.1925,0.6402,true,false,true,4.8
Dr. Benali Mohammed,doctor,+213 48 54 34 56,Cardiology,Avenue Pasteur,Sidi Bel Abbès,Sidi Bel Abbès,35.1890,0.6375,false,true,false,4.3
Pharmacie Centrale,pharmacy,+213 48 54 45 67,Pharmacy,Place de la Mairie,Sidi Bel Abbès,Sidi Bel Abbès,35.1912,0.6395,true,false,true,4.6
Laboratoire Ibn Sina,lab,+213 48 54 56 78,Laboratory,Rue des Frères Boukhors,Sidi Bel Abbès,Sidi Bel Abbès,35.1898,0.6380,true,false,false,4.4
Clinique Essalem,clinic,+213 48 54 67 89,Pediatrics,Avenue de l'ALN,Sidi Bel Abbès,Sidi Bel Abbès,35.1935,0.6410,true,true,false,4.7
Dr. Khelifi Fatima,doctor,+213 48 54 78 90,Dermatology,Rue Larbi Ben M'hidi,Sidi Bel Abbès,Sidi Bel Abbès,35.1880,0.6365,false,true,false,4.2
Hôpital Militaire,hospital,+213 48 54 89 01,Surgery,Route de Mascara,Sidi Bel Abbès,Sidi Bel Abbès,35.1950,0.6425,true,false,true,4.9
Pharmacie du Parc,pharmacy,+213 48 54 90 12,Pharmacy,Boulevard Benzerdjeb,Sidi Bel Abbès,Sidi Bel Abbès,35.1905,0.6390,true,false,false,4.5
Clinique Dentaire Sourire,clinic,+213 48 54 01 23,Dentistry,Rue Emir Abdelkader,Sidi Bel Abbès,Sidi Bel Abbès,35.1920,0.6400,true,false,false,4.6
Dr. Hamidi Karim,doctor,+213 48 54 12 35,Orthopedics,Avenue de la Victoire,Sidi Bel Abbès,Sidi Bel Abbès,35.1895,0.6385,false,true,false,4.4
Laboratoire Pasteur,lab,+213 48 54 23 46,Laboratory,Rue du 1er Novembre,Sidi Bel Abbès,Sidi Bel Abbès,35.1915,0.6398,true,false,false,4.7
